"","x"
"105",0.0100514173421181
"106",-0.0157386714757378
"107",0.0218567956631749
"108",0.0311467795706325
"109",0.00675479520037443
"110",0.0134745247531797
"111",0.0220312752731575
"112",0.00810597985909301
"113",0.0215129643255207
"114",-0.01921453758856
"115",0.0233520075353793
"116",-0.0108456640691729
"117",0.0233647209483542
"118",0.0351259934591293
"119",0.00622941544278913
"120",0.010568694060112
"121",-0.0209227649210734
"122",0.00651131248668631
"123",0.0207112263948104
"124",0.00569631706663985
"125",0.00258291252300896
"126",-0.00152107595352664
"127",-0.00693005325907157
"128",-0.00608296559472709
"129",-0.00615534781439574
"130",0.00539113707770792
"131",0.00255431668360213
"132",-0.00711638513645109
"133",0.00414798103125079
"134",0.00723002958968921
"135",0.00309770240084789
"136",0.000769255894952772
"137",0.00762282553650077
"138",-0.00772037977257512
"139",0.00867125572734904
"140",-0.010721741959437
"141",-0.00302443973075471
"142",0.011961764770054
"143",0.0100461881374202
"144",-0.0171467599478271
"145",0.0302961648699185
"146",0.000534260083813208
"147",0.00208576227926413
"148",0.00336405298762688
"149",0.00595547822053815
"150",0.00612626204206658
"151",-0.0122443345966535
"152",-0.0157386500893692
"153",0.0158733562849249
"154",-0.00187404272099793
"155",0.0162237910728134
"156",-0.0366194577406414
"157",0.0151265296835568
"158",0.0131582677747107
"159",0.0115576743583505
"160",0.010988589550789
"161",0.000209999209278751
"162",-0.0204885351981489
"163",0.0127702299710843
"164",-0.00768521791027839
"165",-0.0100289307727815
"166",-0.00398843349394087
"167",0.00349268977816376
"168",-0.0111458345504237
"169",-0.00704101721788739
"170",0.00825856489049211
"171",0.0018824835541794
"172",-0.00165169659778454
"173",0.00932719775285707
"174",-0.000848994176998305
"175",-0.00124591187488358
"176",-0.00253135650900606
"177",-0.00537600868548973
"178",0.00584793824794829
"179",-0.00412289050566129
"180",0.00598615305568005
"181",0.00841977484624584
"182",-0.00066792346296898
"183",0.000631328014795079
"184",0.00246653493204164
"185",-0.0106702919134907
"186",0.0128440117322202
"187",-0.00394751485161212
"188",-0.0118893437786382
"189",0.00560313840629273
