"","x"
"131",-0.00842691174545566
"132",0.0145054505990908
"133",0.00331461745938198
"134",0.00257461715317494
"135",-0.0036886269534329
"136",0.0052516713257753
"137",-0.00404345592795414
"138",0.0163784339104328
"139",-0.0155414377939281
"140",0.0212138450411877
"141",0.0149794737572932
"142",-0.00756115099299056
"143",0.00390906062051345
"144",-0.0227710000070626
"145",-0.0293345420471352
"146",0.000930186928208016
"147",0.011934806552945
"148",0.00776645936486611
"149",-0.00210263667433996
"150",0.00674720744634954
"151",0.00406309029702118
"152",-0.00511772054326969
"153",0.00277361319744278
"154",0.00575246737956624
"155",-0.000420750019263506
"156",0.00499139966331628
"157",0.0051873933038612
"158",0.00270345181809749
"159",-0.00534536331393841
"160",-0.00460950943592468
"161",-0.00201741264639837
"162",0.00564880206932567
"163",-0.00372738489505017
"164",-0.000171896099453296
"165",0.00315877008565101
"166",0.000750206649529176
"167",-0.00216379386795176
"168",-0.00963092383361155
"169",-0.000509739851249972
"170",0.00144452141017619
"171",0.004134498557404
"172",-0.000700573307872341
"173",-0.00231469854936023
"174",-0.00394125525601872
"175",-0.00149392789332077
"176",-0.000970813389663345
"177",0.00635966806072966
"178",0.000663185075489427
"179",0.00490736427236939
"180",-0.00297710564398526
"181",-0.014429233571135
"182",0.00231554496981314
"183",0.00108045426285777
"184",-0.00860368726423783
"185",-0.0189306176539167
"186",0.0226664312131332
"187",-0.0288854872687621
"188",-0.000321892337796424
"189",-0.00286851259233796
"190",-0.00183377877665192
"191",-0.00434478413577984
"192",0.0153332813099169
"193",-0.00560653617304544
"194",-0.00131217122409266
"195",0.00943430034561317
"196",0.00270932160316302
"197",0.002388045131991
"198",-0.000131115266104718
"199",0.0078155308794342
"200",-0.00508406858923401
"201",0.000637746673918751
"202",-0.000482572705146863
"203",0.00161825898406213
"204",0.00275324384726159
"205",-0.00171641967624661
"206",0.0152814482295175
"207",0.0195464482766009
"208",-0.0355452351513953
"209",0.0279901453945258
"210",0.0129501722937708
"211",0.000498724505588592
"212",0.00112340646273146
"213",0.0015280105734595
"214",-0.00492458664189769
"215",-0.00308189191178928
"216",0.00905904203143692
"217",-0.00376356005343928
