Date,Adj Close
15.07.2005,24.5
18.07.2005,24.43
19.07.2005,24.39
20.07.2005,24.43
21.07.2005,24.34
22.07.2005,24.46
25.07.2005,24.21
26.07.2005,24
27.07.2005,23.78
28.07.2005,23.94
29.07.2005,24.64
01.08.2005,24.65
02.08.2005,24.89
03.08.2005,25
04.08.2005,24.67
05.08.2005,24.75
08.08.2005,25.41
09.08.2005,25.65
10.08.2005,25.85
11.08.2005,27.43
12.08.2005,26.29
15.08.2005,26.57
16.08.2005,26.23
17.08.2005,26.78
18.08.2005,26.4
19.08.2005,26.39
22.08.2005,26.32
23.08.2005,26.12
24.08.2005,26.08
25.08.2005,26.33
26.08.2005,26.47
29.08.2005,26.23
30.08.2005,25.62
31.08.2005,25.66
01.09.2005,24.94
02.09.2005,25.22
06.09.2005,25.82
07.09.2005,26.64
08.09.2005,26.38
09.09.2005,26.99
12.09.2005,26.72
13.09.2005,26.19
14.09.2005,25.59
15.09.2005,26.45
16.09.2005,27.07
19.09.2005,26.49
20.09.2005,25.79
21.09.2005,24.84
22.09.2005,26.16
23.09.2005,25.81
26.09.2005,26.3
27.09.2005,26.1
28.09.2005,26.17
29.09.2005,26.47
30.09.2005,26.48
03.10.2005,26.78
04.10.2005,26
05.10.2005,25.97
06.10.2005,25.88
07.10.2005,25.47
10.10.2005,25.57
11.10.2005,25.57
12.10.2005,25.04
13.10.2005,25.34
14.10.2005,25.55
17.10.2005,25.85
18.10.2005,25.67
19.10.2005,26.64
20.10.2005,25.62
21.10.2005,25.68
24.10.2005,26.19
25.10.2005,26.09
26.10.2005,25.55
27.10.2005,24.94
28.10.2005,25.53
31.10.2005,24.98
01.11.2005,25.12
02.11.2005,25.51
03.11.2005,26.27
04.11.2005,26.43
07.11.2005,26.64
08.11.2005,26.88
09.11.2005,26.35
10.11.2005,26.81
11.11.2005,27.27
14.11.2005,27.38
15.11.2005,26.88
16.11.2005,26.46
17.11.2005,26.78
18.11.2005,26.7
21.11.2005,26.68
22.11.2005,26.62
23.11.2005,27.2
25.11.2005,27
28.11.2005,27.39
29.11.2005,27.38
30.11.2005,27.31
01.12.2005,28.51
02.12.2005,28.17
05.12.2005,27.89
06.12.2005,28.37
07.12.2005,28.45
08.12.2005,28.09
09.12.2005,28.11
12.12.2005,27.81
13.12.2005,28.46
14.12.2005,28.64
15.12.2005,28.22
16.12.2005,28.04
